urgent_slots,strategy,rule,rule_name,n_batches,elAppWT_mean,elAppWT_hw,elAppWT_lower,elAppWT_upper,elScanWT_mean,elScanWT_hw,elScanWT_lower,elScanWT_upper,urScanWT_mean,urScanWT_hw,urScanWT_lower,urScanWT_upper,OT_mean,OT_hw,OT_lower,OT_upper,OV_mean,OV_hw,OV_lower,OV_upper
17,1,1,FCFS,58,56.888053,7.090344,49.797709,63.978397,0.083704,0.000461,0.083243,0.084166,2.534126,0.012270,2.521856,2.546396,0.480211,0.010088,0.470123,0.490299,0.620189,0.042058,0.578130,0.662247
17,1,2,Bailey-Welch,58,57.542490,7.080194,50.462296,64.622685,0.180759,0.000869,0.179890,0.181628,2.457676,0.012243,2.445432,2.469919,0.432489,0.010074,0.422416,0.442563,0.615590,0.041990,0.573600,0.657580
17,1,3,Blocking,58,57.529940,7.090741,50.439199,64.620681,0.186709,0.000558,0.186151,0.187266,2.520240,0.012352,2.507888,2.532593,0.473649,0.010136,0.463513,0.483785,0.622467,0.042053,0.580414,0.664519
17,1,4,Benchmarking,58,56.993274,7.097357,49.895917,64.090630,0.084460,0.000457,0.084003,0.084918,2.516044,0.012283,2.503761,2.528327,0.470992,0.010075,0.460917,0.481068,0.618806,0.042090,0.576716,0.660896
17,2,1,FCFS,58,56.162472,7.081723,49.080749,63.244195,0.076072,0.000481,0.075591,0.076552,2.106388,0.012360,2.094028,2.118749,0.902136,0.012369,0.889767,0.914505,0.568344,0.042028,0.526316,0.610372
17,2,2,Bailey-Welch,58,56.794958,7.083169,49.711789,63.878127,0.171862,0.000715,0.171147,0.172577,2.047480,0.012425,2.035054,2.059905,0.851085,0.012451,0.838635,0.863536,0.565563,0.042028,0.523535,0.607591
17,2,3,Blocking,58,56.760882,7.069288,49.691594,63.830169,0.179725,0.000515,0.179210,0.180240,2.192776,0.012130,2.180646,2.204906,0.893068,0.012303,0.880765,0.905371,0.581504,0.041990,0.539514,0.623494
17,2,4,Benchmarking,58,56.256507,7.091131,49.165376,63.347638,0.077492,0.000495,0.076997,0.077987,2.089897,0.012366,2.077531,2.102262,0.889972,0.012348,0.877623,0.902320,0.567071,0.042079,0.524992,0.609150
17,3,1,FCFS,58,56.163818,7.081014,49.082803,63.244832,0.076460,0.000519,0.075941,0.076979,1.985475,0.012963,1.972512,1.998439,0.750131,0.011877,0.738253,0.762008,0.554917,0.041992,0.512925,0.596908
17,3,2,Bailey-Welch,58,56.778936,7.068222,49.710713,63.847158,0.179584,0.000823,0.178761,0.180408,1.927458,0.012975,1.914483,1.940433,0.699644,0.011976,0.687668,0.711620,0.552132,0.041910,0.510221,0.594042
17,3,3,Blocking,58,56.749013,7.075831,49.673182,63.824844,0.180709,0.000557,0.180152,0.181266,1.972493,0.012918,1.959576,1.985411,0.741398,0.011853,0.729545,0.753252,0.556958,0.041953,0.515004,0.598911
17,3,4,Benchmarking,58,56.250870,7.086414,49.164456,63.337285,0.077970,0.000517,0.077453,0.078488,1.968717,0.012979,1.955738,1.981696,0.737982,0.011886,0.726096,0.749868,0.553573,0.042021,0.511552,0.595593
18,1,1,FCFS,58,155.373248,32.649863,122.723385,188.023111,0.083986,0.000487,0.083499,0.084473,2.506218,0.012407,2.493811,2.518626,0.453833,0.010039,0.443794,0.463872,1.203309,0.194119,1.009190,1.397429
18,1,2,Bailey-Welch,58,155.975416,32.623079,123.352337,188.598495,0.182997,0.000921,0.182076,0.183918,2.429274,0.012295,2.416979,2.441569,0.410843,0.009998,0.400845,0.420841,1.198344,0.193960,1.004384,1.392305
18,1,3,Blocking,58,156.015407,32.634712,123.380694,188.650119,0.188264,0.000578,0.187686,0.188842,2.492130,0.012558,2.479572,2.504687,0.447832,0.009996,0.437835,0.457828,1.205566,0.194028,1.011538,1.399595
18,1,4,Benchmarking,58,155.469884,32.637543,122.832341,188.107427,0.084748,0.000503,0.084246,0.085251,2.487796,0.012390,2.475406,2.500187,0.445304,0.010032,0.435272,0.455336,1.201838,0.194043,1.007795,1.395881
